"","Sample.tag.","Subspp.Prov.ID","STATE","Subspecies","subsppcyt","x","y","size_t","growth","census","surv","growth_std"
"58",58,"AZW-1-10","AZ","T","T4n",6,23.5,0.0004004483435,NA,1,1,NA
"59",59,"IDT-3-4","ID","T","T2n",7,23.5,0.00200119452025,NA,1,1,NA
"60",60,"ORW-3-1","OR","T","T2n",8,23.5,0.00193773434875,NA,1,1,NA
"61",61,"CAT-2-5","CA","T","T2n",9,23.5,0.0178693790125,NA,1,1,NA
"62",62,"MTT-1-8","MT","T","T2n",10,23.5,0.00061575216,NA,1,1,NA
"63",63,"NVT-2-9","NV","T","T2n",11,23.5,0.0101778805525,NA,1,1,NA
"64",64,"MTT-1-5","MT","T","T2n",12,23.5,0.00416522826,NA,1,1,NA
"65",65,"CAW-3-2","CA","V","V2n",13,23.5,0.0056155968675,NA,1,1,NA
"66",66,"WYW-1-2","WY","W","W4n",14,23.5,0.00049186868975,NA,1,1,NA
"67",67,"UTV-3-5","UT","V","V4n",15,23.5,0.00135383793825,NA,1,1,NA
"68",68,"WAT-2-7","WA","T","T4n",16,23.5,0.0016165065,NA,1,1,NA
"69",69,"CAV-1-1","CA","AR","AR",17,23.5,0.00044568727775,NA,1,1,NA
"70",70,"IDV-3-7","ID","V","V2n",18,23.5,0.0027291015375,NA,1,1,NA
"71",71,"NVW-1-6","NV","T","T2n",19,23.5,NA,NA,1,0,NA
"72",72,"MTW-2-9","MT","W","W4n",20,23.5,0.00046731190725,NA,1,1,NA
"73",73,"UTW-1-2","UT","W","W4n",21,23.5,0.00317920799,NA,1,1,NA
"74",74,"UTV-1-3","UT","V","V2n",22,23.5,0.0040753158775,NA,1,1,NA
"75",75,"UTV-3-2","UT","V","V4n",23,23.5,0.002687946675,NA,1,1,NA
"76",76,"ORW-2-6","OR","T","T2n",24,23.5,0.0073700507025,NA,1,1,NA
"77",77,"AZW-1-4","AZ","T","T4n",25,23.5,0.0213090459775,NA,1,1,NA
"78",78,"COW-1-5","CO","W","W4n",26,23.5,0.00078822559675,NA,1,1,NA
"79",79,"ORV-1-2","OR","V","V4n",26,22,0.014580613215,NA,1,1,NA
"80",80,"WAW-3-9","WA","W","W4n",25,22,0.016299839325,NA,1,1,NA
"81",81,"UTV-2-5","UT","W","W4n",24,22,0.0095832817825,NA,1,1,NA
"82",82,"AZW-1-7","AZ","T","T4n",23,22,0.00712147742,NA,1,1,NA
"83",83,"MTW-1-6","MT","W","W4n",22,22,0.00030630528375,NA,1,1,NA
"84",84,"WAT-2-4","WA","T","T4n",21,22,0.00349021519,NA,1,1,NA
"85",85,"NVT-1-10","NV","T","T2n",20,22,0.015401500905,NA,1,1,NA
"86",86,"IDV-5-3","ID","V","V2n",19,22,0.0038435291725,NA,1,1,NA
"87",87,"COT-1-8","CO","T","T2n",18,22,0.080173947175,NA,1,1,NA
"88",88,"ORT-2-1","OR","T","T2n",17,22,0.0480646083,NA,1,1,NA
"89",89,"UTV-3-6","UT","V","V4n",16,22,0.0026954864975,NA,1,1,NA
"90",90,"CAV-1-2","CA","AR","AR",15,22,0.0003183480555,NA,1,1,NA
"91",91,"UTT-3-2","UT","T","T2n",14,22,0.014550129295,NA,1,1,NA
"92",92,"IDW-1-3","ID","W","W4n",13,22,0.000202171959225,NA,1,1,NA
"93",93,"CAW-3-6","CA","V","V2n",12,22,0.0040542986225,NA,1,1,NA
"94",94,"ORT-1-5","OR","T","T2n",11,22,0.00037604864075,NA,1,1,NA
"95",95,"ORT-2-6","OR","T","T2n",10,22,0.104495717675,NA,1,1,NA
"96",96,"IDW-1-8","ID","W","W4n",9,22,0.0001677191598,NA,1,1,NA
"97",97,"CAV-4-1","CA","V","V4n",8,22,0.08644353985,NA,1,1,NA
"98",98,"ORT-1-10","OR","T","T2n",7,22,0.002580294765,NA,1,1,NA
"99",99,"IDT-2-1","ID","T","T2n",6,22,0.00236860378125,NA,1,1,NA
"100",100,"NMT-2-2","NM","T","T4n",5,22,0.002633513345,NA,1,1,NA
"101",101,"ORV-1-1","OR","V","V4n",4,22,0.005535905135,NA,1,1,NA
"102",102,"IDW-3-6","ID","W","W4n",3,22,0.00051522119525,NA,1,1,NA
"103",103,"UTT-1-3","UT","T","T2n",2,22,0.0090242248975,NA,1,1,NA
"104",104,"NMT-1-8","NM","T","T4n",1,22,0.00688050679,NA,1,1,NA
"105",107,"IDV-2-9","ID","V","V2n",1,20.5,0.0031050664025,NA,1,1,NA
"106",108,"IDV-2-1","ID","V","V2n",2,20.5,0.00484018897,NA,1,1,NA
"107",109,"ORT-3-7","OR","T","T2n",3,20.5,0.00192956620775,NA,1,1,NA
"108",110,"CAW-3-3","CA","V","V2n",4,20.5,0.0025581988975,NA,1,1,NA
"109",111,"ORT-3-10","OR","T","T2n",5,20.5,0.00279224755,NA,1,1,NA
"110",112,"MTW-1-3","MT","W","W4n",6,20.5,0.0017577629775,NA,1,1,NA
"111",113,"MTW-1-4","MT","W","W4n",7,20.5,0.001609207533,NA,1,1,NA
"112",114,"WYW-2-1","WY","W","W4n",8,20.5,0.0002316924582,NA,1,1,NA
"113",115,"NMT-1-2","NM","T","T4n",9,20.5,0.0128210700025,NA,1,1,NA
"114",116,"MTW-2-8","MT","W","W4n",10,20.5,0.00257384403,NA,1,1,NA
"115",117,"IDT-3-3","ID","T","T2n",11,20.5,0.01412878936,NA,1,1,NA
"116",118,"CAV-3-4","CA","V","V4n",12,20.5,0.050565064725,NA,1,1,NA
"117",119,"IDV-5-9","ID","V","V2n",13,20.5,0.000210989362625,NA,1,1,NA
"118",120,"ORV-1-5","OR","V","V4n",14,20.5,0.0030499838125,NA,1,1,NA
"119",121,"IDV-2-6","ID","V","V2n",15,20.5,0.00180515913875,NA,1,1,NA
"120",122,"MTT-1-7","MT","T","T2n",16,20.5,0.000617071629,NA,1,1,NA
"121",123,"CAW-3-4","CA","V","V2n",17,20.5,0.0031466192025,NA,1,1,NA
"122",124,"IDV-3-4","ID","V","V2n",18,20.5,0.008567060335,NA,1,1,NA
"123",125,"UTT-2-5","UT","T","T2n",19,20.5,0.0125129216525,NA,1,1,NA
"124",126,"IDW-2-5","ID","W","W4n",20,20.5,0.00165703304525,NA,1,1,NA
"125",127,"NVW-1-8","NV","T","T2n",21,20.5,0.04226355275,NA,1,1,NA
"126",128,"ORW-2-3","OR","T","T2n",22,20.5,0.00339241741,NA,1,1,NA
"127",129,"ORT-3-5","OR","T","T2n",23,20.5,0.000248814138175,NA,1,1,NA
"128",130,"ORT-1-9","OR","T","T2n",24,20.5,0.0053733172425,NA,1,1,NA
"129",131,"UTV-1-1","UT","V","V2n",25,20.5,0.00169650192075,NA,1,1,NA
"130",132,"IDT-1-7","ID","T","T2n",26,20.5,0.0033925011875,NA,1,1,NA
"131",133,"COW-2-10","CO","V","V4n",26,19,0.00221934671425,NA,1,1,NA
"132",134,"NVV-3-8","NV","V","V4n",25,19,0.0009003490385,NA,1,1,NA
"133",135,"IDT-3-2","ID","T","T2n",24,19,0.000764632236,NA,1,1,NA
"134",136,"COT-1-5","CO","T","T2n",23,19,0.053328912275,NA,1,1,NA
"135",137,"CAT-1-2","CA","T","T2n",22,19,0.011021063075,NA,1,1,NA
"136",138,"CAV-2-9","CA","V","V2n",21,19,0.0157247707875,NA,1,1,NA
"137",139,"ORW-2-8","OR","T","T2n",20,19,0.0101855460375,NA,1,1,NA
"138",140,"NVW-1-9","NV","T","T2n",19,19,0.0145496580575,NA,1,1,NA
"139",141,"AZW-1-5","AZ","T","T4n",18,19,0.00177412020325,NA,1,1,NA
"140",142,"UTT-2-9","UT","T","T2n",17,19,0.0061784131925,NA,1,1,NA
"141",143,"CAV-4-4","CA","V","V4n",16,19,0.0074075613175,NA,1,1,NA
"142",144,"AZW-1-3","AZ","T","T4n",15,19,0.012639255565,NA,1,1,NA
"143",145,"ORV-1-8","OR","V","V4n",14,19,0.00140942318425,NA,1,1,NA
"144",146,"NVT-2-5","NV","T","T2n",13,19,0.00951196763,NA,1,1,NA
"145",147,"MTW-3-5","MT","W","W4n",12,19,0.0006852441895,NA,1,1,NA
"146",148,"CAT-2-1","CA","T","T2n",11,19,0.010732790535,NA,1,1,NA
"147",149,"IDV-5-5","ID","V","V2n",10,19,0.0011479379555,NA,1,1,NA
"148",150,"UTT-3-9","UT","T","T2n",9,19,0.00640792748,NA,1,1,NA
"149",151,"WAW-3-4","WA","W","W4n",8,19,0.000505063379,NA,1,1,NA
"150",152,"WAW-3-1","WA","W","W4n",7,19,0.0054813251975,NA,1,1,NA
"151",153,"IDV-4-7","ID","V","V2n",6,19,0.0012497255575,NA,1,1,NA
"152",154,"UTW-1-8","UT","W","W4n",5,19,0.005253999555,NA,1,1,NA
"153",155,"IDW-3-5","ID","W","W4n",4,19,0.0046246652425,NA,1,1,NA
"154",156,"IDV-5-6","ID","V","V2n",3,19,0.003384333045,NA,1,1,NA
"155",157,"NVT-1-5","NV","T","T2n",2,19,0.001574566238,NA,1,1,NA
"156",158,"NMT-2-5","NM","T","T4n",1,19,0.00794391496,NA,1,1,NA
"157",159,"AZT-1-10","AZ","T","T4n",1,17.5,0.003452924485,NA,1,1,NA
"158",160,"WAW-3-5","WA","W","W4n",2,17.5,0.001328694725,NA,1,1,NA
"159",161,"ORT-3-9","OR","T","T2n",3,17.5,0.00059991853325,NA,1,1,NA
"160",162,"CAV-3-6","CA","V","V4n",4,17.5,0.0141884377325,NA,1,1,NA
"161",163,"COT-1-2","CO","T","T2n",5,17.5,0.03117381445,NA,1,1,NA
"162",164,"NVT-1-4","NV","T","T2n",6,17.5,0.0038113802075,NA,1,1,NA
"163",165,"UTW-2-6","UT","W","W4n",7,17.5,0.0003961548335,NA,1,1,NA
"164",166,"ORW-2-5","OR","T","T2n",8,17.5,0.00190290455825,NA,1,1,NA
"165",167,"IDV-4-6","ID","V","V2n",9,17.5,0.001598505174,NA,1,1,NA
"166",168,"NVV-1-3","NV","V","V2n",10,17.5,0.00116396007825,NA,1,1,NA
"167",169,"IDT-3-1","ID","T","T2n",11,17.5,0.010553363705,NA,1,1,NA
"168",170,"NVT-2-1","NV","T","T2n",12,17.5,0.006791526415,NA,1,1,NA
"169",171,"IDW-3-7","ID","W","W4n",13,17.5,0.0005445427265,NA,1,1,NA
"170",172,"NMT-1-3","NM","T","T4n",14,17.5,0.003421697055,NA,1,1,NA
"171",173,"WAT-2-2","WA","T","T4n",15,17.5,0.0032236929425,NA,1,1,NA
"172",174,"MTW-2-7","MT","W","W4n",16,17.5,0.00154796742025,NA,1,1,NA
"173",175,"CAT-2-7","CA","T","T2n",17,17.5,0.0062545653975,NA,1,1,NA
"174",176,"CAV-2-3","CA","V","V2n",18,17.5,0.00386997091,NA,1,1,NA
"175",177,"UTT-3-10","UT","T","T2n",19,17.5,0.056392111725,NA,1,1,NA
"176",178,"UTT-2-10","UT","T","T2n",20,17.5,0.00815054798,NA,1,1,NA
"177",179,"ORV-1-7","OR","V","V4n",21,17.5,0.00247167943625,NA,1,1,NA
"178",180,"CAW-3-9","CA","V","V2n",22,17.5,0.033556733425,NA,1,1,NA
"179",181,"WAT-1-4","WA","T","T2n",23,17.5,0.0237327951825,NA,1,1,NA
"180",182,"MTW-3-3","MT","W","W4n",24,17.5,0.001066570706,NA,1,1,NA
"181",183,"NVW-1-10","NV","T","T2n",25,17.5,0.036336446025,NA,1,1,NA
"182",184,"COW-2-1","CO","V","V4n",26,17.5,0.00405809995,NA,1,1,NA
"183",185,"UTV-3-4","UT","V","V4n",26,16,0.015610940415,NA,1,1,NA
"184",186,"NMT-1-1","NM","T","T4n",25,16,0.0155075296575,NA,1,1,NA
"185",187,"NVW-1-1","NV","T","T2n",24,16,0.034680292625,NA,1,1,NA
"186",188,"UTT-2-6","UT","T","T2n",23,16,0.01038254484,NA,1,1,NA
"187",189,"NVT-1-9","NV","T","T2n",22,16,0.01144812071,NA,1,1,NA
"188",190,"WAT-1-8","WA","T","T2n",21,16,0.030319049925,NA,1,1,NA
"189",191,"ORW-2-6","OR","T","T2n",20,16,0.0058743593825,NA,1,1,NA
"190",192,"ORW-3-3","OR","T","T2n",19,16,0.01195213689,NA,1,1,NA
"191",193,"NVV-1-4","NV","V","V2n",18,16,0.00180365117425,NA,1,1,NA
"192",194,"CAV-2-10","CA","V","V2n",17,16,0.003987728275,NA,1,1,NA
"193",195,"IDV-5-8","ID","V","V2n",16,16,0.00222189140425,NA,1,1,NA
"194",196,"CAT-2-10","CA","T","T2n",15,16,0.01658103281,NA,1,1,NA
"195",197,"WAT-1-7","WA","T","T2n",14,16,0.0148110176225,NA,1,1,NA
"196",198,"IDW-2-2","ID","W","W4n",13,16,0.0002070623718,NA,1,1,NA
"197",199,"ORV-1-6","OR","V","V4n",12,16,0.00190458007425,NA,1,1,NA
"198",200,"AZW-1-8","AZ","T","T4n",11,16,0.0037535225425,NA,1,1,NA
"199",201,"ORW-1-1","OR","W","W4n",10,16,0.00017919644495,NA,1,1,NA
"200",202,"CAT-2-2","CA","T","T2n",9,16,0.013178101535,NA,1,1,NA
"201",203,"IDT-1-9","ID","T","T2n",8,16,0.00199350809025,NA,1,1,NA
"202",204,"CAV-3-7","CA","V","V4n",7,16,0.0066548566625,NA,1,1,NA
"203",205,"MTV-1-10","MT","V","V2n",6,16,0.00101529991375,NA,1,1,NA
"204",206,"MTW-1-2","MT","W","W4n",5,16,0.00073120569,NA,1,1,NA
"205",207,"IDW-1-1","ID","W","W4n",4,16,0.0003500571975,NA,1,1,NA
"206",208,"NMT-2-1","NM","T","T4n",3,16,0.00622334844,NA,1,1,NA
"207",209,"NMT-2-10","NM","T","T4n",2,16,0.0030819023925,NA,1,1,NA
"208",210,"AZT-1-4","AZ","T","T4n",1,16,0.00209013300825,NA,1,1,NA
"209",211,"UTT-2-4","UT","T","T2n",1,14.5,0.005877867495,NA,1,1,NA
"210",212,"NVT-1-3","NV","T","T2n",2,14.5,0.0081850426675,NA,1,1,NA
"211",213,"WAT-1-6","WA","T","T2n",3,14.5,0.0089223744625,NA,1,1,NA
"212",214,"COW-1-10","CO","W","W4n",4,14.5,0.0080405922375,NA,1,1,NA
"213",215,"IDW-1-2","ID","W","W4n",5,14.5,0.00189942786225,NA,1,1,NA
"214",216,"COW-1-9","CO","W","W4n",6,14.5,0.00464522173,NA,1,1,NA
"215",217,"WAT-2-9","WA","T","T4n",7,14.5,0.000557632696,NA,1,1,NA
"216",218,"NVT-2-4","NV","T","T2n",8,14.5,0.001950929038,NA,1,1,NA
"217",219,"UTT-3-3","UT","T","T2n",9,14.5,0.010261279365,NA,1,1,NA
"218",220,"ORV-2-3","OR","V","V2n",10,14.5,0.001051606253,NA,1,1,NA
"219",221,"UTT-3-7","UT","T","T2n",11,14.5,0.00051302208025,NA,1,1,NA
"220",222,"CAW-3-8","CA","V","V2n",12,14.5,0.0029836962075,NA,1,1,NA
"221",223,"UTV-2-2","UT","W","W4n",13,14.5,0.000693663658,NA,1,1,NA
"222",224,"CAV-1-9","CA","AR","AR",14,14.5,0.00112946539075,NA,1,1,NA
"223",225,"NMT-2-6","NM","T","T4n",15,14.5,0.0030352811575,NA,1,1,NA
"224",226,"IDW-1-10","ID","W","W4n",16,14.5,0.0002747846375,NA,1,1,NA
"225",227,"UTT-1-9","UT","T","T2n",17,14.5,0.00443504918,NA,1,1,NA
"226",228,"UTV-3-8","UT","V","V4n",18,14.5,0.0030067554975,NA,1,1,NA
"227",229,"IDW-3-2","ID","W","W4n",19,14.5,0.000228582281475,NA,1,1,NA
"228",230,"NVV-3-4","NV","V","V4n",20,14.5,0.00514467213,NA,1,1,NA
"229",231,"UTV-3-3","UT","V","V4n",21,14.5,0.0004894601355,NA,1,1,NA
"230",232,"UTT-1-10","UT","T","T2n",22,14.5,0.01384386785,NA,1,1,NA
"231",233,"IDT-2-8","ID","T","T2n",23,14.5,0.0115492799925,NA,1,1,NA
"232",234,"UTV-2-1","UT","W","W4n",24,14.5,0.0048164804175,NA,1,1,NA
"233",235,"CAT-2-9","CA","T","T2n",25,14.5,0.01644416409,NA,1,1,NA
"234",236,"MTW-3-7","MT","W","W4n",26,14.5,0.0003611156035,NA,1,1,NA
"235",237,"COW-1-8","CO","W","W4n",26,13,0.0008520732315,NA,1,1,NA
"236",238,"ORT-2-3","OR","T","T2n",25,13,0.032512342375,NA,1,1,NA
"237",239,"WAT-2-3","WA","T","T4n",24,13,0.00116396007825,NA,1,1,NA
"238",240,"CAV-3-2","CA","V","V4n",23,13,0.1019194232,NA,1,1,NA
"239",241,"NVV-3-3","NV","V","V4n",22,13,0.0106512557325,NA,1,1,NA
"240",242,"UTW-2-4","UT","W","W4n",21,13,0.000229650422975,NA,1,1,NA
"241",243,"NVV-2-8","NV","V","V2n",20,13,0.00437875184,NA,1,1,NA
"242",244,"NVV-3-2","NV","V","V4n",19,13,0.005864138735,NA,1,1,NA
"243",245,"ORV-2-1","OR","V","V2n",18,13,0.00198644997875,NA,1,1,NA
"244",246,"IDT-2-2","ID","T","T2n",17,13,0.00197710897675,NA,1,1,NA
"245",247,"UTT-1-6","UT","T","T2n",16,13,0.0100854130075,NA,1,1,NA
"246",248,"WAT-1-3","WA","T","T2n",15,13,0.0123299971825,NA,1,1,NA
"247",249,"MTW-3-10","MT","W","W4n",14,13,0.0004398229715,NA,1,1,NA
"248",250,"ORT-2-4","OR","T","T2n",13,13,0.038588119725,NA,1,1,NA
"249",251,"NVW-1-4","NV","T","T2n",12,13,0.008638625815,NA,1,1,NA
"250",252,"UTT-3-8","UT","T","T2n",11,13,0.0160435586675,NA,1,1,NA
"251",253,"ORT-2-8","OR","T","T2n",10,13,0.00575120895,NA,1,1,NA
"252",254,"NVT-1-7","NV","T","T2n",9,13,0.007607701715,NA,1,1,NA
"253",255,"MTW-3-8","MT","W","W4n",8,13,0.00043437754425,NA,1,1,NA
"254",256,"COT-1-7","CO","T","T2n",7,13,0.0083196284975,NA,1,1,NA
"255",257,"COT-1-3","CO","T","T2n",6,13,0.0212736088125,NA,1,1,NA
"256",258,"CAV-4-3","CA","V","V4n",5,13,0.069200646775,NA,1,1,NA
"257",259,"CAT-1-3","CA","T","T2n",4,13,0.0094617021475,NA,1,1,NA
"258",260,"WAT-1-2","WA","T","T2n",3,13,0.020716604435,NA,1,1,NA
"259",261,"NVV-2-7","NV","V","V2n",2,13,0.00487273587,NA,1,1,NA
"260",262,"ORT-2-9","OR","T","T2n",1,13,0.03425440785,NA,1,1,NA
"261",263,"NVV-2-2","NV","V","V2n",1,11.5,0.00020425588235,NA,1,1,NA
"262",264,"CAV-4-2","CA","V","V4n",2,11.5,0.0207750590025,NA,1,1,NA
"263",265,"CAV-3-5","CA","V","V4n",3,11.5,0.051113995225,NA,1,1,NA
"264",266,"UTW-1-1","UT","W","W4n",4,11.5,0.0026275652625,NA,1,1,NA
"265",267,"NVW-1-7","NV","T","T2n",5,11.5,0.00917727282,NA,1,1,NA
"266",268,"IDT-3-8","ID","T","T2n",6,11.5,0.012027378035,NA,1,1,NA
"267",269,"NMT-1-7","NM","T","T4n",7,11.5,0.006221945195,NA,1,1,NA
"268",270,"MTW-3-4","MT","W","W4n",8,11.5,0.00037322120725,NA,1,1,NA
"269",271,"COW-2-9","CO","V","V4n",9,11.5,0.0005291489225,NA,1,1,NA
"270",272,"IDW-1-7","ID","W","W4n",10,11.5,0.000196035381575,NA,1,1,NA
"271",273,"ORT-3-3","OR","T","T2n",11,11.5,0.007132106475,NA,1,1,NA
"272",274,"NVV-3-6","NV","V","V4n",12,11.5,0.0044917758725,NA,1,1,NA
"273",275,"WAT-2-1","WA","T","T4n",13,11.5,0.010174236305,NA,1,1,NA
"274",276,"MTW-3-6","MT","W","W4n",14,11.5,0.00038028979075,NA,1,1,NA
"275",277,"CAV-1-7","CA","AR","AR",15,11.5,0.00062186779375,NA,1,1,NA
"276",278,"UTW-1-10","UT","W","W4n",16,11.5,0.0012185714305,NA,1,1,NA
"277",279,"CAT-2-4","CA","T","T2n",17,11.5,0.0063896852975,NA,1,1,NA
"278",280,"CAV-2-8","CA","V","V2n",18,11.5,0.009661695935,NA,1,1,NA
"279",281,"ORV-1-10","OR","V","V4n",19,11.5,0.00049743978075,NA,1,1,NA
"280",282,"CAV-1-5","CA","AR","AR",20,11.5,0.00043630438775,NA,1,1,NA
"281",283,"UTW-2-9","UT","W","W4n",21,11.5,0.001062277196,NA,1,1,NA
"282",284,"UTT-3-1","UT","T","T2n",22,11.5,0.02029086627,NA,1,1,NA
"283",285,"IDV-5-4","ID","V","V2n",23,11.5,0.001754129202,NA,1,1,NA
"284",286,"IDT-1-5","ID","T","T2n",24,11.5,0.017524620635,NA,1,1,NA
"285",287,"UTV-2-8","UT","W","W4n",25,11.5,0.00229053520375,NA,1,1,NA
"286",288,"NVV-2-9","NV","V","V2n",26,11.5,0.016723703005,NA,1,1,NA
"287",289,"NVV-3-7","NV","V","V4n",26,10,0.00395855335,NA,1,1,NA
"288",290,"NMT-1-9","NM","T","T4n",25,10,0.005521757495,NA,1,1,NA
"289",291,"NVT-1-1","NV","T","T2n",24,10,0.009679456405,NA,1,1,NA
"290",292,"IDW-3-1","ID","W","W4n",23,10,0.00133647540275,NA,1,1,NA
"291",293,"CAT-1-1","CA","T","T2n",22,10,0.036450328775,NA,1,1,NA
"292",294,"IDW-1-6","ID","W","W4n",21,10,0.000138544236025,NA,1,1,NA
"293",295,"CAV-2-1","CA","V","V2n",20,10,0.0062844000575,NA,1,1,NA
"294",296,"NVT-2-8","NV","T","T2n",19,10,0.0231655492125,NA,1,1,NA
"295",297,"CAV-1-8","CA","AR","AR",18,10,0.0006557760505,NA,1,1,NA
"296",298,"CAV-2-5","CA","V","V2n",17,10,0.0028170661325,NA,1,1,NA
"297",299,"IDV-2-4","ID","V","V2n",16,10,0.0044867179075,NA,1,1,NA
"298",300,"UTW-2-8","UT","W","W4n",15,10,0.0028712690775,NA,1,1,NA
"299",301,"NVT-2-10","NV","T","T2n",14,10,0.008576547945,NA,1,1,NA
"300",302,"MTW-2-6","MT","W","W4n",13,10,0.00043461839975,NA,1,1,NA
"301",303,"IDT-1-4","ID","T","T2n",12,10,0.00187289187625,NA,1,1,NA
"302",304,"UTT-1-4","UT","T","T2n",11,10,0.0163302604125,NA,1,1,NA
"303",305,"NMT-1-6","NM","T","T4n",10,10,0.013721220075,NA,1,1,NA
"304",306,"NVT-2-6","NV","T","T2n",9,10,0.033206383025,NA,1,1,NA
